#cell_line	measurement_name	experiment_id	file_id
K562	H3K27ac	ENCSR000AKP	ENCFF465GBD
K562	H3K4me1	ENCSR000AKS	ENCFF457URZ
K562	H3K9me3	ENCSR000APE	ENCFF632NQA
K562	H3K36me3	ENCSR000DWB	ENCFF633OZC
K562	H3K27me3	ENCSR000EWB	ENCFF847BFA
K562	H3K4me3	ENCSR668LDD	ENCFF405ZDL
K562	methylation_plus	ENCSR765JPC	ENCFF459XNY
K562	methylation_minus	ENCSR765JPC	ENCFF430PNX
K562	Pol2S5	ENCSR000BKR	ENCFF677XKP
K562	Pol2	ENCSR388QZF	ENCFF914WIS
K562	EP300	ENCSR000EGE	ENCFF325DSL
K562	CTCF	ENCSR000EGM	ENCFF336UPT
K562	DNase	ENCSR000EOT	ENCFF414OGC
K562	ATAC	ENCSR868FGK	ENCFF357GNC
K562	smallRNA_plus	ENCSR000AES	ENCFF259NAV
K562	smallRNA_minus	ENCSR000AES	ENCFF967BLD
