sample_id,dataset,tissue_type,age,gender,split
GSM1007173,GSE41037,blood whole,46.0,F,train
GSM1059475,E-GEOD-43256,placenta,-0.5561643835616439,F,test
GSM1059476,E-GEOD-43256,placenta,-0.5945205479452055,F,train
GSM1059477,E-GEOD-43256,placenta,-0.6520547945205479,F,train
GSM1059478,E-GEOD-43256,placenta,-0.5561643835616439,M,test
GSM1059479,E-GEOD-43256,placenta,-0.5945205479452055,M,train
GSM1059480,E-GEOD-43256,placenta,-0.6520547945205479,M,test
GSM1059481,E-GEOD-43256,placenta,-0.536986301369863,M,train
GSM1059482,E-GEOD-43256,placenta,-0.6136986301369863,F,test
GSM1059483,E-GEOD-43256,placenta,-0.536986301369863,M,train
GSM1059484,E-GEOD-43256,placenta,-0.4986301369863014,F,train
GSM1088602,E-GEOD-44712,placenta,-0.15917808219178084,M,test
GSM1088603,E-GEOD-44712,placenta,-0.13693150684931507,F,train
GSM1088604,E-GEOD-44712,placenta,-0.12082191780821912,M,train
GSM1088605,E-GEOD-44712,placenta,-0.15342465753424658,M,test
GSM1088606,E-GEOD-44712,placenta,-0.15917808219178084,F,train
GSM1088607,E-GEOD-44712,placenta,-0.11506849315068493,F,valid
GSM1088608,E-GEOD-44712,placenta,-0.29035616438356165,M,test
GSM1088609,E-GEOD-44712,placenta,-0.2684931506849315,M,test
GSM1088610,E-GEOD-44712,placenta,-0.14536986301369859,M,test
GSM1088611,E-GEOD-44712,placenta,-0.052164383561643816,M,test
GSM1088612,E-GEOD-44712,placenta,-0.11775342465753426,M,test
GSM1088613,E-GEOD-44712,placenta,-0.12350684931506845,F,test
GSM1088614,E-GEOD-44712,placenta,-0.21939726027397263,M,test
GSM1088615,E-GEOD-44712,placenta,-0.052164383561643816,F,test
GSM1088616,E-GEOD-44712,placenta,-0.13999999999999996,M,train
GSM1088617,E-GEOD-44712,placenta,-0.252,M,train
GSM1088618,E-GEOD-44712,placenta,-0.27961643835616434,F,valid
GSM1088619,E-GEOD-44712,placenta,-0.14268493150684927,M,test
GSM1088620,E-GEOD-44712,placenta,-0.14805479452054793,F,test
GSM1088621,E-GEOD-44712,placenta,-0.11506849315068493,M,train
GSM1088622,E-GEOD-44712,placenta,-0.23013698630136986,M,test
GSM1088623,E-GEOD-44712,placenta,-0.12082191780821912,M,valid
GSM1088624,E-GEOD-44712,placenta,-0.14805479452054793,M,test
GSM1088625,E-GEOD-44712,placenta,-0.15342465753424658,M,train
GSM1088626,E-GEOD-44712,placenta,-0.13693150684931507,M,train
GSM1088627,E-GEOD-44712,placenta,-0.14268493150684927,F,train
GSM1088628,E-GEOD-44712,placenta,-0.2684931506849315,F,train
GSM1088629,E-GEOD-44712,placenta,-0.1645479452054794,M,train
GSM1088630,E-GEOD-44712,placenta,-0.07671232876712329,M,train
GSM1088631,E-GEOD-44712,placenta,-0.11506849315068493,M,train
GSM1088632,E-GEOD-44712,placenta,-0.2876712328767123,M,train
GSM1088633,E-GEOD-44712,placenta,-0.14268493150684927,F,valid
GSM1088634,E-GEOD-44712,placenta,-0.13999999999999996,M,train
GSM1088635,E-GEOD-44712,placenta,-0.14536986301369859,M,train
GSM1088636,E-GEOD-44712,placenta,-0.12657534246575344,F,train
GSM1088637,E-GEOD-44712,placenta,-0.12350684931506845,M,train
GSM1088638,E-GEOD-44712,placenta,-0.23013698630136986,F,test
GSM1088639,E-GEOD-44712,placenta,-0.052164383561643816,F,test
GSM1088640,E-GEOD-44712,placenta,-0.12082191780821912,M,valid
GSM1088641,E-GEOD-44712,placenta,-0.21939726027397263,M,train
GSM1104642,E-GEOD-45461,bone marrow,-0.3452054794520548,,train
GSM1104643,E-GEOD-45461,bone marrow,-0.3452054794520548,,train
GSM1104644,E-GEOD-45461,bone marrow,-0.3452054794520548,,test
GSM1104645,E-GEOD-45461,bone marrow,-0.3452054794520548,,test
GSM1104646,E-GEOD-45461,bone marrow,-0.3452054794520548,,train
GSM1104647,E-GEOD-45461,bone marrow,-0.3452054794520548,,test
GSM1104648,E-GEOD-45461,bone marrow,-0.3452054794520548,,test
GSM1104649,E-GEOD-45461,bone marrow,-0.3452054794520548,,train
GSM1104650,E-GEOD-45461,bone marrow,-0.3452054794520548,,test
GSM1104651,E-GEOD-45461,bone marrow,-0.3452054794520548,,train
GSM1104652,E-GEOD-45461,bone marrow,-0.3452054794520548,,train
GSM1104653,E-GEOD-45461,bone marrow,-0.3452054794520548,,test
GSM1104654,E-GEOD-45461,bone marrow,-0.3452054794520548,,train
GSM1104655,E-GEOD-45461,bone marrow,-0.3452054794520548,,train
GSM1104656,E-GEOD-45461,bone marrow,-0.3452054794520548,,train
GSM1104657,E-GEOD-45461,bone marrow,-0.3452054794520548,,train
GSM1104658,E-GEOD-45461,bone marrow,-0.3452054794520548,,train
GSM1104659,E-GEOD-45461,bone marrow,-0.3452054794520548,,test
GSM1104660,E-GEOD-45461,bone marrow,-0.3452054794520548,,test
GSM1104661,E-GEOD-45461,bone marrow,-0.3452054794520548,,test
GSM1104662,E-GEOD-45461,bone marrow,-0.3452054794520548,,train
GSM1104663,E-GEOD-45461,bone marrow,-0.3452054794520548,,train
GSM1336745,E-GEOD-55438,placenta,-0.15068493150684925,,test
GSM1336746,E-GEOD-55438,placenta,-0.15068493150684925,,train
GSM1336747,E-GEOD-55438,placenta,-0.15068493150684925,,valid
GSM1336748,E-GEOD-55438,placenta,-0.15068493150684925,,test
GSM1336749,E-GEOD-55438,placenta,-0.15068493150684925,,train
GSM1336750,E-GEOD-55438,placenta,-0.15068493150684925,,train
GSM1336751,E-GEOD-55438,placenta,-0.15068493150684925,,train
GSM1336752,E-GEOD-55438,placenta,-0.15068493150684925,,test
GSM1336753,E-GEOD-55438,placenta,-0.15068493150684925,,train
GSM1336754,E-GEOD-55438,placenta,-0.15068493150684925,,test
GSM1336755,E-GEOD-55438,placenta,-0.15068493150684925,,train
GSM1336756,E-GEOD-55438,placenta,-0.15068493150684925,,test
GSM1336757,E-GEOD-55438,placenta,-0.6438356164383562,,test
GSM1336758,E-GEOD-55438,placenta,-0.6438356164383562,,test
GSM1336759,E-GEOD-55438,placenta,-0.6438356164383562,,test
GSM1336760,E-GEOD-55438,placenta,-0.6438356164383562,,train
GSM1336761,E-GEOD-55438,placenta,-0.6438356164383562,,test
GSM1336762,E-GEOD-55438,placenta,-0.6438356164383562,,train
GSM1336763,E-GEOD-55438,placenta,-0.15068493150684925,,train
GSM1336764,E-GEOD-55438,placenta,-0.15068493150684925,,test
GSM1336765,E-GEOD-55438,placenta,-0.15068493150684925,,test
GSM1336766,E-GEOD-55438,placenta,-0.15068493150684925,,test
GSM1336767,E-GEOD-55438,placenta,-0.15068493150684925,,train
GSM1336768,E-GEOD-55438,placenta,-0.15068493150684925,,test
GSM1336769,E-GEOD-55438,placenta,-0.6438356164383562,,test
GSM1336770,E-GEOD-55438,placenta,-0.6438356164383562,,test
GSM1336771,E-GEOD-55438,placenta,-0.6438356164383562,,test
GSM1336772,E-GEOD-55438,placenta,-0.6438356164383562,,train
GSM1336773,E-GEOD-55438,placenta,-0.6438356164383562,,test
GSM1336774,E-GEOD-55438,placenta,-0.6438356164383562,,train
GSM1336775,E-GEOD-55438,placenta,-0.15068493150684925,,train
GSM1336776,E-GEOD-55438,placenta,-0.15068493150684925,,valid
GSM1336777,E-GEOD-55438,placenta,-0.15068493150684925,,train
GSM1336778,E-GEOD-55438,placenta,-0.15068493150684925,,train
GSM1336779,E-GEOD-55438,placenta,-0.15068493150684925,,test
GSM1336780,E-GEOD-55438,placenta,-0.15068493150684925,,train
GSM1336781,E-GEOD-55438,placenta,-0.15068493150684925,,train
GSM1336782,E-GEOD-55438,placenta,-0.15068493150684925,,valid
GSM1336783,E-GEOD-55438,placenta,-0.15068493150684925,,train
GSM1336784,E-GEOD-55438,placenta,-0.15068493150684925,,train
GSM1336785,E-GEOD-55438,placenta,-0.15068493150684925,,train
GSM1336786,E-GEOD-55438,placenta,-0.15068493150684925,,train
GSM1336787,E-GEOD-55438,placenta,-0.6438356164383562,,train
GSM1336788,E-GEOD-55438,placenta,-0.6438356164383562,,train
GSM1336789,E-GEOD-55438,placenta,-0.6438356164383562,,test
GSM1336790,E-GEOD-55438,placenta,-0.6438356164383562,,test
GSM1336791,E-GEOD-55438,placenta,-0.6438356164383562,,valid
GSM1336792,E-GEOD-55438,placenta,-0.6438356164383562,,valid
GSM1355274,E-GEOD-56105,blood whole,12.0,F,valid
GSM1355278,E-GEOD-56105,blood whole,12.0,F,train
GSM1355279,E-GEOD-56105,blood whole,50.0,F,train
GSM1355280,E-GEOD-56105,blood whole,12.0,F,train
GSM1355283,E-GEOD-56105,blood whole,16.0,F,train
GSM1355285,E-GEOD-56105,blood whole,12.0,M,train
GSM1355287,E-GEOD-56105,blood whole,16.0,M,train
GSM1355288,E-GEOD-56105,blood whole,12.0,M,train
GSM1355289,E-GEOD-56105,blood whole,14.0,M,train
GSM1355291,E-GEOD-56105,blood whole,47.0,M,train
GSM1355292,E-GEOD-56105,blood whole,18.0,F,train
GSM1355293,E-GEOD-56105,blood whole,13.0,F,valid
GSM1355294,E-GEOD-56105,blood whole,14.0,F,train
GSM1355295,E-GEOD-56105,blood whole,40.0,F,train
GSM1355296,E-GEOD-56105,blood whole,15.0,M,valid
GSM1355297,E-GEOD-56105,blood whole,12.0,F,train
GSM1355298,E-GEOD-56105,blood whole,43.0,F,train
GSM1355299,E-GEOD-56105,blood whole,47.0,F,train
GSM1355300,E-GEOD-56105,blood whole,48.0,F,train
GSM1355303,E-GEOD-56105,blood whole,12.0,F,valid
GSM1355304,E-GEOD-56105,blood whole,14.0,M,train
GSM1355305,E-GEOD-56105,blood whole,13.0,M,train
GSM1355306,E-GEOD-56105,blood whole,12.0,M,train
GSM1355310,E-GEOD-56105,blood whole,16.0,M,train
GSM1355311,E-GEOD-56105,blood whole,18.0,M,train
GSM1355313,E-GEOD-56105,blood whole,49.0,M,train
GSM1355315,E-GEOD-56105,blood whole,48.0,M,train
GSM1355316,E-GEOD-56105,blood whole,12.0,M,train
GSM1355317,E-GEOD-56105,blood whole,12.0,M,train
GSM1355318,E-GEOD-56105,blood whole,47.0,M,train
GSM1355321,E-GEOD-56105,blood whole,18.0,F,train
GSM1355323,E-GEOD-56105,blood whole,50.0,F,train
GSM1355324,E-GEOD-56105,blood whole,12.0,F,train
GSM1355326,E-GEOD-56105,blood whole,12.0,F,train
