split,label_age,model_mse,b1_mse,b3_mse,b4_mse
unknown,54.0,0.013003019,0.09740325,0.033176005,0.033175875
unknown,36.0,0.009494628,0.09774926,0.031482622,0.017146109
unknown,20.0,0.0128452685,0.09455926,0.035041288,0.022976138
unknown,42.0,0.013451131,0.09295378,0.036570664,0.028775794
unknown,69.0,0.00998498,0.09814534,0.030547248,0.020406323
unknown,56.0,0.011980635,0.10264149,0.015073735,0.033011515
unknown,8.666666984558105,0.004071349,0.10888742,0.0039586914,0.01586257
unknown,7.25,0.0038381917,0.108388714,0.0037096608,0.015543293
unknown,8.583333015441895,0.0041120164,0.109109044,0.018790564,0.019062314
unknown,7.75,0.004388782,0.10900777,0.021498635,0.031962052
unknown,8.083333015441895,0.004376698,0.10913731,0.0052824677,0.019970698
unknown,11.416666984558105,0.004152609,0.10993418,0.0043533635,0.035542082
unknown,4.083333492279053,0.004791886,0.11034318,0.0061710826,0.016967813
unknown,11.333333015441895,0.004237194,0.111204214,0.0042644246,0.032420203
unknown,12.083333015441895,0.0048598913,0.108968474,0.0047782147,0.014266432
unknown,10.916666984558105,0.0043910784,0.11167414,0.0042667505,0.0259381
unknown,5.75,0.004092245,0.10895145,0.0041730767,0.022557285
unknown,4.166666507720947,0.004238429,0.10990708,0.0039236583,0.023065923
unknown,13.416666984558105,0.006453779,0.105387405,0.006746299,0.024163203
unknown,7.916666507720947,0.0046198117,0.10907565,0.0053024204,0.017336296
unknown,9.166666984558105,0.004178656,0.10822029,0.01906454,0.0299464
unknown,14.5,0.0038509043,0.10940925,0.0036506925,0.03680718
unknown,10.916666984558105,0.0043243123,0.10787447,0.005449492,0.0260862
unknown,6.25,0.00421372,0.10931625,0.0039746384,0.022737993
unknown,7.583333492279053,0.004378446,0.10958733,0.0044516614,0.029511288
unknown,7.416666507720947,0.0038126619,0.1083802,0.003950434,0.024770038
unknown,5.75,0.004147027,0.108280465,0.004114223,0.01923727
unknown,6.416666507720947,0.004328682,0.107835375,0.0050800936,0.01884732
unknown,10.583333015441895,0.0040854528,0.10873521,0.003966723,0.04050647
unknown,13.166666984558105,0.0043205153,0.10904969,0.0044414033,0.030382907
