trainer/global_step,_step,lr-AdamW/pg4,lr-AdamW/pg1,lr-AdamW/pg2,_runtime,lr-AdamW/pg3,_timestamp,epoch,train/loss_step,val/age_loss,val/medae,val/recon_loss,val/loss,val/mae,val/r2,train/recon_loss,train/age_loss,train/loss_epoch,train/mae,train/r2,train/medae,test/mae,test/loss,test/r2,test/recon_loss,test/medae,test/age_loss
9,0,0.0,1.8e-06,1.8e-06,41.171907174,0.0,1778749958.1556447,,,,,,,,,,,,,,,,,,,,
9,1,0.0,1.8e-06,1.8e-06,41.847887761,0.0,1778749958.831893,,,,,,,,,,,,,,,,,,,,
9,2,0.0,1.8e-06,1.8e-06,42.523652374,0.0,1778749959.507645,,,,,,,,,,,,,,,,,,,,
9,3,0.0,1.8e-06,1.8e-06,43.199409907,0.0,1778749960.1833742,,,,,,,,,,,,,,,,,,,,
9,4,,,,43.875424545,,1778749960.859452,0.0,0.01674402505159378,,,,,,,,,,,,,,,,,,
19,5,0.0,3.8e-06,3.8e-06,68.178220989,0.0,1778749985.1621234,,,,,,,,,,,,,,,,,,,,
19,6,0.0,3.8e-06,3.8e-06,68.854114044,0.0,1778749985.8380547,,,,,,,,,,,,,,,,,,,,
19,7,0.0,3.8e-06,3.8e-06,69.529480539,0.0,1778749986.5134463,,,,,,,,,,,,,,,,,,,,
19,8,0.0,3.8e-06,3.8e-06,70.205112802,0.0,1778749987.189077,,,,,,,,,,,,,,,,,,,,
19,9,,,,70.881402381,,1778749987.8653224,0.0,0.027118846774101257,,,,,,,,,,,,,,,,,,
29,10,0.0,5.8e-06,5.8e-06,95.128748616,0.0,1778750012.1127076,,,,,,,,,,,,,,,,,,,,
29,11,0.0,5.8e-06,5.8e-06,95.799136822,0.0,1778750012.783107,,,,,,,,,,,,,,,,,,,,
29,12,0.0,5.8e-06,5.8e-06,96.469291028,0.0,1778750013.453274,,,,,,,,,,,,,,,,,,,,
29,13,0.0,5.8e-06,5.8e-06,97.139471203,0.0,1778750014.123443,,,,,,,,,,,,,,,,,,,,
29,14,,,,97.809988383,,1778750014.794009,0.0,0.019945329055190086,,,,,,,,,,,,,,,,,,
39,15,0.0,7.8e-06,7.8e-06,121.925630221,0.0,1778750038.909468,,,,,,,,,,,,,,,,,,,,
39,16,0.0,7.8e-06,7.8e-06,122.595472507,0.0,1778750039.5796704,,,,,,,,,,,,,,,,,,,,
39,17,0.0,7.8e-06,7.8e-06,123.266074373,0.0,1778750040.2500148,,,,,,,,,,,,,,,,,,,,
39,18,0.0,7.8e-06,7.8e-06,123.936534106,0.0,1778750040.920531,,,,,,,,,,,,,,,,,,,,
39,19,,,,124.606348811,,1778750041.5903814,0.0,0.024766288697719574,,,,,,,,,,,,,,,,,,
49,20,0.0,9.800000000000001e-06,9.800000000000001e-06,148.718847348,0.0,1778750065.7028053,,,,,,,,,,,,,,,,,,,,
49,21,0.0,9.800000000000001e-06,9.800000000000001e-06,149.389036264,0.0,1778750066.3729904,,,,,,,,,,,,,,,,,,,,
49,22,0.0,9.800000000000001e-06,9.800000000000001e-06,150.059093021,0.0,1778750067.0431037,,,,,,,,,,,,,,,,,,,,
49,23,0.0,9.800000000000001e-06,9.800000000000001e-06,150.729574105,0.0,1778750067.713535,,,,,,,,,,,,,,,,,,,,
49,24,,,,151.400036701,,1778750068.3840368,0.0,0.02258237637579441,,,,,,,,,,,,,,,,,,
56,25,,,,194.625800164,,1778750111.6098723,0.0,,0.030054330825805664,4.290000915527344,0.0,0.030054330825805664,6.285138130187988,0.8898760080337524,,,,,,,,,,,,
56,26,,,,195.211225978,,1778750112.195151,0.0,,,,,,,,0.0,0.024444755166769028,0.024444755166769028,5.380312442779541,0.9206153154373169,3.75,,,,,,
