trainer/global_step,_step,lr-AdamW/pg4,lr-AdamW/pg1,lr-AdamW/pg2,_runtime,lr-AdamW/pg3,_timestamp,epoch,train/loss_step,val/age_loss,val/medae,val/recon_loss,val/loss,val/mae,val/r2,train/recon_loss,train/age_loss,train/loss_epoch,train/mae,train/r2,train/medae,test/mae,test/loss,test/r2,test/recon_loss,test/medae,test/age_loss
9,0,0.0,1.8e-06,1.8e-06,27.035891188,0.0,1778836769.7386563,,,,,,,,,,,,,,,,,,,,
9,1,0.0,1.8e-06,1.8e-06,27.706900147,0.0,1778836770.4097986,,,,,,,,,,,,,,,,,,,,
9,2,0.0,1.8e-06,1.8e-06,28.378076449,0.0,1778836771.081005,,,,,,,,,,,,,,,,,,,,
9,3,0.0,1.8e-06,1.8e-06,29.048720779,0.0,1778836771.7516565,,,,,,,,,,,,,,,,,,,,
9,4,,,,29.720278785,,1778836772.4231963,0.0,0.14221787452697754,,,,,,,,,,,,,,,,,,
19,5,0.0,3.8e-06,3.8e-06,54.020077452,0.0,1778836796.7229295,,,,,,,,,,,,,,,,,,,,
19,6,0.0,3.8e-06,3.8e-06,54.696580772,0.0,1778836797.3995042,,,,,,,,,,,,,,,,,,,,
19,7,0.0,3.8e-06,3.8e-06,55.372840415,0.0,1778836798.0756767,,,,,,,,,,,,,,,,,,,,
19,8,0.0,3.8e-06,3.8e-06,56.04929372,0.0,1778836798.752217,,,,,,,,,,,,,,,,,,,,
19,9,,,,56.726217794,,1778836799.4291613,0.0,0.11613252758979797,,,,,,,,,,,,,,,,,,
29,10,0.0,5.8e-06,5.8e-06,80.971907669,0.0,1778836823.6747272,,,,,,,,,,,,,,,,,,,,
29,11,0.0,5.8e-06,5.8e-06,81.643637023,0.0,1778836824.3465338,,,,,,,,,,,,,,,,,,,,
29,12,0.0,5.8e-06,5.8e-06,82.685495897,0.0,1778836825.3884218,,,,,,,,,,,,,,,,,,,,
29,13,0.0,5.8e-06,5.8e-06,83.357916301,0.0,1778836826.0608094,,,,,,,,,,,,,,,,,,,,
29,14,,,,84.029889071,,1778836826.732735,0.0,0.1513044834136963,,,,,,,,,,,,,,,,,,
39,15,0.0,7.8e-06,7.8e-06,108.205374517,0.0,1778836850.9081366,,,,,,,,,,,,,,,,,,,,
39,16,0.0,7.8e-06,7.8e-06,108.8773819,0.0,1778836851.5802155,,,,,,,,,,,,,,,,,,,,
39,17,0.0,7.8e-06,7.8e-06,109.549297103,0.0,1778836852.252236,,,,,,,,,,,,,,,,,,,,
39,18,0.0,7.8e-06,7.8e-06,110.221218316,0.0,1778836852.9240603,,,,,,,,,,,,,,,,,,,,
39,19,,,,110.893877169,,1778836853.5966861,0.0,0.12519976496696472,,,,,,,,,,,,,,,,,,
49,20,0.0,9.800000000000001e-06,9.800000000000001e-06,135.066630009,0.0,1778836877.769287,,,,,,,,,,,,,,,,,,,,
49,21,0.0,9.800000000000001e-06,9.800000000000001e-06,135.738146022,0.0,1778836878.4410672,,,,,,,,,,,,,,,,,,,,
49,22,0.0,9.800000000000001e-06,9.800000000000001e-06,136.4097319,0.0,1778836879.1126602,,,,,,,,,,,,,,,,,,,,
49,23,0.0,9.800000000000001e-06,9.800000000000001e-06,137.081241944,0.0,1778836879.784132,,,,,,,,,,,,,,,,,,,,
49,24,,,,137.753150888,,1778836880.4560697,0.0,0.11475953459739685,,,,,,,,,,,,,,,,,,
56,25,,,,180.498218571,,1778836923.2011251,0.0,,0.134417325258255,18.6875,0.0,0.134417325258255,21.851558685302734,0.009857177734375,,,,,,,,,,,,
56,26,,,,180.849368832,,1778836923.5522208,0.0,,,,,,,,0.0,0.13636113703250885,0.13636113703250885,22.119571685791016,-0.07425105571746826,17.78125,,,,,,
59,27,0.0,1.18e-05,1.18e-05,186.466928287,0.0,1778836929.1695228,,,,,,,,,,,,,,,,,,,,
59,28,0.0,1.18e-05,1.18e-05,187.13909619,0.0,1778836929.8419867,,,,,,,,,,,,,,,,,,,,
59,29,0.0,1.18e-05,1.18e-05,187.811255611,0.0,1778836930.5141957,,,,,,,,,,,,,,,,,,,,
59,30,0.0,1.18e-05,1.18e-05,188.483325718,0.0,1778836931.186142,,,,,,,,,,,,,,,,,,,,
59,31,,,,189.15468187,,1778836931.857572,1.0,0.1234896183013916,,,,,,,,,,,,,,,,,,
69,32,0.0,1.3800000000000002e-05,1.3800000000000002e-05,213.300526531,0.0,1778836956.0034056,,,,,,,,,,,,,,,,,,,,
69,33,0.0,1.3800000000000002e-05,1.3800000000000002e-05,213.971760158,0.0,1778836956.6746364,,,,,,,,,,,,,,,,,,,,
69,34,0.0,1.3800000000000002e-05,1.3800000000000002e-05,214.642902047,0.0,1778836957.3457835,,,,,,,,,,,,,,,,,,,,
69,35,0.0,1.3800000000000002e-05,1.3800000000000002e-05,215.314051698,0.0,1778836958.0169854,,,,,,,,,,,,,,,,,,,,
69,36,,,,215.985279026,,1778836958.6881654,1.0,0.13672012090682983,,,,,,,,,,,,,,,,,,
79,37,0.0,1.58e-05,1.58e-05,240.133247112,0.0,1778836982.8361986,,,,,,,,,,,,,,,,,,,,
79,38,0.0,1.58e-05,1.58e-05,240.804533919,0.0,1778836983.507585,,,,,,,,,,,,,,,,,,,,
79,39,0.0,1.58e-05,1.58e-05,241.475373113,0.0,1778836984.1782937,,,,,,,,,,,,,,,,,,,,
79,40,0.0,1.58e-05,1.58e-05,242.146462904,0.0,1778836984.8493547,,,,,,,,,,,,,,,,,,,,
79,41,,,,242.817892466,,1778836985.520794,1.0,0.12849171459674835,,,,,,,,,,,,,,,,,,
89,42,0.0,1.78e-05,1.78e-05,266.965544884,0.0,1778837009.6684132,,,,,,,,,,,,,,,,,,,,
89,43,0.0,1.78e-05,1.78e-05,267.636747504,0.0,1778837010.3396223,,,,,,,,,,,,,,,,,,,,
89,44,0.0,1.78e-05,1.78e-05,268.307848252,0.0,1778837011.01073,,,,,,,,,,,,,,,,,,,,
