trainer/global_step,_step,lr-AdamW/pg4,lr-AdamW/pg1,lr-AdamW/pg2,_runtime,lr-AdamW/pg3,_timestamp,epoch,train/loss_step,val/age_loss,val/medae,val/recon_loss,val/loss,val/mae,val/r2,train/recon_loss,train/age_loss,train/loss_epoch,train/mae,train/r2,train/medae,test/mae,test/loss,test/r2,test/recon_loss,test/medae,test/age_loss
9,0,0.0,9e-06,9e-06,44.848096662,0.0,1778600840.5185244,,,,,,,,,,,,,,,,,,,,
9,1,0.0,9e-06,9e-06,45.518762257,0.0,1778600841.189396,,,,,,,,,,,,,,,,,,,,
9,2,0.0,9e-06,9e-06,46.189772431,0.0,1778600841.8604817,,,,,,,,,,,,,,,,,,,,
9,3,0.0,9e-06,9e-06,46.861168635,0.0,1778600842.531779,,,,,,,,,,,,,,,,,,,,
9,4,,,,47.532335043,,1778600843.2029667,0.0,0.9603434801101685,,,,,,,,,,,,,,,,,,
19,5,0.0,1.9e-05,1.9e-05,71.665603852,0.0,1778600867.3360703,,,,,,,,,,,,,,,,,,,,
19,6,0.0,1.9e-05,1.9e-05,72.335506437,0.0,1778600868.0060747,,,,,,,,,,,,,,,,,,,,
19,7,0.0,1.9e-05,1.9e-05,73.004533456,0.0,1778600868.6753345,,,,,,,,,,,,,,,,,,,,
19,8,0.0,1.9e-05,1.9e-05,73.673692353,0.0,1778600869.344454,,,,,,,,,,,,,,,,,,,,
19,9,,,,74.344489654,,1778600870.0150895,0.0,0.755568265914917,,,,,,,,,,,,,,,,,,
29,10,0.0,2.9e-05,2.9e-05,98.455437265,0.0,1778600894.1259818,,,,,,,,,,,,,,,,,,,,
29,11,0.0,2.9e-05,2.9e-05,99.125753921,0.0,1778600894.7963219,,,,,,,,,,,,,,,,,,,,
29,12,0.0,2.9e-05,2.9e-05,100.124826397,0.0,1778600895.795437,,,,,,,,,,,,,,,,,,,,
29,13,0.0,2.9e-05,2.9e-05,100.794067105,0.0,1778600896.4647844,,,,,,,,,,,,,,,,,,,,
29,14,,,,101.464011071,,1778600897.1346285,0.0,0.750176191329956,,,,,,,,,,,,,,,,,,
39,15,0.0,3.9000000000000006e-05,3.9000000000000006e-05,125.572488074,0.0,1778600921.243028,,,,,,,,,,,,,,,,,,,,
39,16,0.0,3.9000000000000006e-05,3.9000000000000006e-05,126.242762304,0.0,1778600921.913371,,,,,,,,,,,,,,,,,,,,
