lr-AdamW/pg3,_timestamp,trainer/global_step,_step,lr-AdamW/pg4,lr-AdamW/pg1,lr-AdamW/pg2,_runtime,epoch,train/loss_step,val/mae_epoch,val/loss,val/mae,val/r2,train/loss_epoch,train/mae,test/r2,test/mae_epoch,test/mae
4.5e-06,1770719118.2177544,9,0,4.5e-06,4.4999999999999996e-05,4.4999999999999996e-05,15.502193675000001,,,,,,,,,,,
4.5e-06,1770719118.284758,9,1,4.5e-06,4.4999999999999996e-05,4.4999999999999996e-05,15.571100198,,,,,,,,,,,
,1770719118.334804,9,2,,,,15.618974391,0.0,1.0324091911315918,,,,,,,,,
9.5e-06,1770719119.5223126,19,3,9.5e-06,9.5e-05,9.5e-05,16.809240083,,,,,,,,,,,
9.5e-06,1770719119.5897753,19,4,9.5e-06,9.5e-05,9.5e-05,16.873785883,,,,,,,,,,,
,1770719119.6394258,19,5,,,,16.923447906,0.0,0.9209645390510559,,,,,,,,,
1.45e-05,1770719120.8276255,29,6,1.45e-05,0.000145,0.000145,18.114171406,,,,,,,,,,,
1.45e-05,1770719120.8967009,29,7,1.45e-05,0.000145,0.000145,18.180760191,,,,,,,,,,,
,1770719120.9466937,29,8,,,,18.230787764,0.0,0.6578471064567566,,,,,,,,,
1.9500000000000003e-05,1770719122.1333778,39,9,1.9500000000000003e-05,0.00019500000000000002,0.00019500000000000002,19.420184577,,,,,,,,,,,
1.9500000000000003e-05,1770719122.203956,39,10,1.9500000000000003e-05,0.00019500000000000002,0.00019500000000000002,19.488015351,,,,,,,,,,,
,1770719122.2539945,39,11,,,,19.538031607,0.0,0.4474821090698242,,,,,,,,,
2.45e-05,1770719123.4384484,49,12,2.45e-05,0.000245,0.000245,20.725245394,,,,,,,,,,,
2.45e-05,1770719123.5059788,49,13,2.45e-05,0.000245,0.000245,20.790016374,,,,,,,,,,,
,1770719123.5559258,49,14,,,,20.840036746,0.0,0.5443357229232788,,,,,,,,,
2.95e-05,1770719124.7320507,59,15,2.95e-05,0.000295,0.000295,22.01918814,,,,,,,,,,,
2.95e-05,1770719124.7994835,59,16,2.95e-05,0.000295,0.000295,22.083473939,,,,,,,,,,,
,1770719124.8488414,59,17,,,,22.132927188,0.0,0.12115336954593658,,,,,,,,,
3.45e-05,1770719126.0224566,69,18,3.45e-05,0.000345,0.000345,23.309145848,,,,,,,,,,,
3.45e-05,1770719126.0895352,69,19,3.45e-05,0.000345,0.000345,23.373521592,,,,,,,,,,,
