epoch,validation/loss,validation/cpg_sites_accuracy,train/cpg_sites_cross_entropy_loss_epoch,train/cpg_sites_perplexity_step,lr-AdamW/pg2,train/cpg_sites_accuracy_epoch,_timestamp,validation/cpg_sites_perplexity,_runtime,validation/cpg_sites_cross_entropy_loss,_step,train/cpg_sites_cross_entropy_loss_step,train/cpg_sites_perplexity_epoch,train/cpg_sites_accuracy_step,lr-AdamW/pg1,trainer/global_step,train/loss_epoch,train/loss_step
,,,,,2.25e-07,,1769776728.6957557,,37.949300678,,0,,,,2.25e-07,9,,
,,,,,2.25e-07,,1769776729.5564854,,38.809916565,,1,,,,2.25e-07,9,,
,,,,,2.25e-07,,1769776730.4178433,,39.671288288,,2,,,,2.25e-07,9,,
,,,,,2.25e-07,,1769776731.2792754,,40.532633221,,3,,,,2.25e-07,9,,
0.0,,,,8878.1015625,,,1769776732.1415956,,41.395136104,,4,9.09134292602539,,0.00019613996846601367,,9,,9.09134292602539
,,,,,4.75e-07,,1769776763.1338058,,72.387295922,,5,,,,4.75e-07,19,,
,,,,,4.75e-07,,1769776763.9952543,,73.248645662,,6,,,,4.75e-07,19,,
,,,,,4.75e-07,,1769776764.8568032,,74.110266069,,7,,,,4.75e-07,19,,
,,,,,4.75e-07,,1769776765.7183192,,74.971691142,,8,,,,4.75e-07,19,,
0.0,,,,8869.671875,,,1769776766.5808961,,75.834371222,,9,9.09039306640625,,0.00015574504504911602,,19,,9.09039306640625
,,,,,7.25e-07,,1769776797.5857818,,106.839287994,,10,,,,7.25e-07,29,,
,,,,,7.25e-07,,1769776798.4470444,,107.700394719,,11,,,,7.25e-07,29,,
,,,,,7.25e-07,,1769776799.3086743,,108.562121116,,12,,,,7.25e-07,29,,
,,,,,7.25e-07,,1769776800.1703098,,109.423660051,,13,,,,7.25e-07,29,,
0.0,,,,8889.7421875,,,1769776801.0323453,,110.285803464,,14,9.092653274536133,,0.00023544183932244778,,29,,9.092653274536133
,,,,,9.75e-07,,1769776832.0385041,,141.291983202,,15,,,,9.75e-07,39,,
,,,,,9.75e-07,,1769776832.899449,,142.152798429,,16,,,,9.75e-07,39,,
,,,,,9.75e-07,,1769776833.761239,,143.014669183,,17,,,,9.75e-07,39,,
,,,,,9.75e-07,,1769776834.6229901,,143.876372845,,18,,,,9.75e-07,39,,
0.0,,,,8827.5458984375,,,1769776835.4851627,,144.73864337,,19,9.08563232421875,,0.00011733875726349652,,39,,9.08563232421875
,,,,,1.2250000000000001e-06,,1769776866.493502,,175.746958991,,20,,,,1.2250000000000001e-06,49,,
,,,,,1.2250000000000001e-06,,1769776867.3545647,,176.607975321,,21,,,,1.2250000000000001e-06,49,,
,,,,,1.2250000000000001e-06,,1769776868.2164173,,177.469859364,,22,,,,1.2250000000000001e-06,49,,
,,,,,1.2250000000000001e-06,,1769776869.0780826,,178.331439512,,23,,,,1.2250000000000001e-06,49,,
0.0,,,,8780.2509765625,,,1769776869.9405766,,179.19401235,,24,9.080260276794434,,0.00011710516264429316,,49,,9.080260276794434
,,,,,1.475e-06,,1769776900.956471,,210.209951836,,25,,,,1.475e-06,59,,
,,,,,1.475e-06,,1769776901.8178992,,211.071208116,,26,,,,1.475e-06,59,,
,,,,,1.475e-06,,1769776902.67992,,211.933364289,,27,,,,1.475e-06,59,,
,,,,,1.475e-06,,1769776903.541595,,212.79495369,,28,,,,1.475e-06,59,,
0.0,,,,8795.5634765625,,,1769776904.4046504,,213.658092048,,29,9.082002639770508,,0.00019544229144230485,,59,,9.082002639770508
,,,,,1.7250000000000002e-06,,1769776935.4208279,,244.674347587,,30,,,,1.7250000000000002e-06,69,,
,,,,,1.7250000000000002e-06,,1769776936.2821674,,245.535480853,,31,,,,1.7250000000000002e-06,69,,
