run,metric,threshold,direction,first_epoch
random_init,val_mae,20.0,below,14.0
random_init,val_mae,15.0,below,
random_init,val_mae,10.0,below,
random_init,val_mae,7.5,below,
random_init,val_mae,5.0,below,
random_init,val_mae,4.0,below,
random_init,val_medae,20.0,below,1.0
random_init,val_medae,15.0,below,17.0
random_init,val_medae,10.0,below,
random_init,val_medae,7.5,below,
random_init,val_medae,5.0,below,
random_init,val_medae,4.0,below,
random_init,val_r2,0.2,above,22.0
random_init,val_r2,0.4,above,
random_init,val_r2,0.6,above,
random_init,val_r2,0.8,above,
random_init,val_r2,0.9,above,
pretrained,val_mae,20.0,below,1.0
pretrained,val_mae,15.0,below,2.0
pretrained,val_mae,10.0,below,3.0
pretrained,val_mae,7.5,below,14.0
pretrained,val_mae,5.0,below,
pretrained,val_mae,4.0,below,
pretrained,val_medae,20.0,below,0.0
pretrained,val_medae,15.0,below,2.0
pretrained,val_medae,10.0,below,2.0
pretrained,val_medae,7.5,below,3.0
pretrained,val_medae,5.0,below,14.0
pretrained,val_medae,4.0,below,33.0
pretrained,val_r2,0.2,above,1.0
pretrained,val_r2,0.4,above,2.0
pretrained,val_r2,0.6,above,2.0
pretrained,val_r2,0.8,above,7.0
pretrained,val_r2,0.9,above,86.0
