lr-AdamW/pg4,_runtime,val/recon_loss,epoch,lr-AdamW/pg1,test/recon_loss,val/mae,train/r2,train/loss_step,val/r2,val/medae,train/age_loss,train/loss_epoch,trainer/global_step,train/mae,train/medae,lr-AdamW/pg3,test/age_loss,train/recon_loss,val/age_loss,_timestamp,lr-AdamW/pg2,test/medae,test/r2,test/mae,val/loss,_step,test/loss
0.0,42.807061509,,,1.8e-06,,,,,,,,,9,,,0.0,,,,1779873628.9596663,1.8e-06,,,,,0,
0.0,43.477351968,,,1.8e-06,,,,,,,,,9,,,0.0,,,,1779873629.6301541,1.8e-06,,,,,1,
0.0,44.147788956,,,1.8e-06,,,,,,,,,9,,,0.0,,,,1779873630.3006048,1.8e-06,,,,,2,
0.0,44.818108639,,,1.8e-06,,,,,,,,,9,,,0.0,,,,1779873630.970958,1.8e-06,,,,,3,
,45.488669944,,0.0,,,,,0.15141505002975464,,,,,9,,,,,,,1779873631.6415443,,,,,,4,
0.0,69.645521733,,,3.8e-06,,,,,,,,,19,,,0.0,,,,1779873655.7982566,3.8e-06,,,,,5,
0.0,70.320407954,,,3.8e-06,,,,,,,,,19,,,0.0,,,,1779873656.4732234,3.8e-06,,,,,6,
0.0,70.995336999,,,3.8e-06,,,,,,,,,19,,,0.0,,,,1779873657.1481426,3.8e-06,,,,,7,
0.0,71.670580517,,,3.8e-06,,,,,,,,,19,,,0.0,,,,1779873657.823439,3.8e-06,,,,,8,
,72.345967389,,0.0,,,,,0.12097445875406265,,,,,19,,,,,,,1779873658.4987783,,,,,,9,
0.0,96.629534824,,,5.8e-06,,,,,,,,,29,,,0.0,,,,1779873682.782268,5.8e-06,,,,,10,
0.0,97.304758091,,,5.8e-06,,,,,,,,,29,,,0.0,,,,1779873683.4575887,5.8e-06,,,,,11,
0.0,98.290720304,,,5.8e-06,,,,,,,,,29,,,0.0,,,,1779873684.4435651,5.8e-06,,,,,12,
0.0,98.967103474,,,5.8e-06,,,,,,,,,29,,,0.0,,,,1779873685.1199217,5.8e-06,,,,,13,
,99.642833322,,0.0,,,,,0.16403037309646606,,,,,29,,,,,,,1779873685.7956555,,,,,,14,
0.0,123.943005124,,,7.8e-06,,,,,,,,,39,,,0.0,,,,1779873710.0958412,7.8e-06,,,,,15,
0.0,124.618070675,,,7.8e-06,,,,,,,,,39,,,0.0,,,,1779873710.7709875,7.8e-06,,,,,16,
0.0,125.293445961,,,7.8e-06,,,,,,,,,39,,,0.0,,,,1779873711.4462597,7.8e-06,,,,,17,
0.0,125.96927577,,,7.8e-06,,,,,,,,,39,,,0.0,,,,1779873712.1221244,7.8e-06,,,,,18,
,126.644774291,,0.0,,,,,0.1325637698173523,,,,,39,,,,,,,1779873712.797606,,,,,,19,
0.0,150.772007931,,,9.800000000000001e-06,,,,,,,,,49,,,0.0,,,,1779873736.9247777,9.800000000000001e-06,,,,,20,
0.0,151.443047526,,,9.800000000000001e-06,,,,,,,,,49,,,0.0,,,,1779873737.595938,9.800000000000001e-06,,,,,21,
0.0,152.113137024,,,9.800000000000001e-06,,,,,,,,,49,,,0.0,,,,1779873738.2659237,9.800000000000001e-06,,,,,22,
0.0,152.783559172,,,9.800000000000001e-06,,,,,,,,,49,,,0.0,,,,1779873738.9364235,9.800000000000001e-06,,,,,23,
,153.454621321,,0.0,,,,,0.11462684720754623,,,,,49,,,,,,,1779873739.6074984,,,,,,24,
,196.652151316,0.0,0.0,,,22.036190032958984,,,0.010663509368896484,19.34375,,,56,,,,,,0.13556577265262604,1779873782.8048432,,,,,0.13556577265262604,25,
,197.298225498,,0.0,,,,-0.08286261558532715,,,,0.1424526870250702,0.1424526870250702,56,23.025041580200195,20.53125,,,0.0,,1779873783.4510403,,,,,,26,
0.0,202.892567984,,,1.18e-05,,,,,,,,,59,,,0.0,,,,1779873789.0455687,1.18e-05,,,,,27,
0.0,203.562173495,,,1.18e-05,,,,,,,,,59,,,0.0,,,,1779873789.715134,1.18e-05,,,,,28,
0.0,204.231189772,,,1.18e-05,,,,,,,,,59,,,0.0,,,,1779873790.3842354,1.18e-05,,,,,29,
0.0,204.902262067,,,1.18e-05,,,,,,,,,59,,,0.0,,,,1779873791.055101,1.18e-05,,,,,30,
,205.572805027,,1.0,,,,,0.12796169519424438,,,,,59,,,,,,,1779873791.7256474,,,,,,31,
0.0,229.697209269,,,1.3800000000000002e-05,,,,,,,,,69,,,0.0,,,,1779873815.850059,1.3800000000000002e-05,,,,,32,
0.0,230.368521434,,,1.3800000000000002e-05,,,,,,,,,69,,,0.0,,,,1779873816.5213258,1.3800000000000002e-05,,,,,33,
