trainer/global_step,_step,lr-AdamW/pg4,lr-AdamW/pg1,lr-AdamW/pg2,_runtime,lr-AdamW/pg3,_timestamp,epoch,train/loss_step,val/age_loss,val/medae,val/recon_loss,val/loss,val/mae,val/r2,train/recon_loss,train/age_loss,train/loss_epoch,train/mae,train/r2,train/medae
9,0,3.6e-07,1.8e-06,1.8e-06,102.927278975,3.6e-07,1780654640.1284692,,,,,,,,,,,,,,
9,1,3.6e-07,1.8e-06,1.8e-06,105.230770131,3.6e-07,1780654642.432002,,,,,,,,,,,,,,
9,2,3.6e-07,1.8e-06,1.8e-06,107.534287466,3.6e-07,1780654644.7354667,,,,,,,,,,,,,,
9,3,3.6e-07,1.8e-06,1.8e-06,109.835670059,3.6e-07,1780654647.036921,,,,,,,,,,,,,,
9,4,,,,112.137601858,,1780654649.3387706,0.0,0.18066778779029846,,,,,,,,,,,,
19,5,7.6e-07,3.8e-06,3.8e-06,195.037454668,7.6e-07,1780654732.2387543,,,,,,,,,,,,,,
19,6,7.6e-07,3.8e-06,3.8e-06,197.338801149,7.6e-07,1780654734.5399704,,,,,,,,,,,,,,
19,7,7.6e-07,3.8e-06,3.8e-06,199.641014484,7.6e-07,1780654736.842317,,,,,,,,,,,,,,
19,8,7.6e-07,3.8e-06,3.8e-06,201.941764838,7.6e-07,1780654739.142973,,,,,,,,,,,,,,
19,9,,,,204.24453502,,1780654741.445805,0.0,0.13589701056480408,,,,,,,,,,,,
29,10,1.1600000000000001e-06,5.8e-06,5.8e-06,287.47577377,1.1600000000000001e-06,1780654824.6770198,,,,,,,,,,,,,,
29,11,1.1600000000000001e-06,5.8e-06,5.8e-06,289.778864869,1.1600000000000001e-06,1780654826.980081,,,,,,,,,,,,,,
29,12,1.1600000000000001e-06,5.8e-06,5.8e-06,292.081318207,1.1600000000000001e-06,1780654829.2824852,,,,,,,,,,,,,,
29,13,1.1600000000000001e-06,5.8e-06,5.8e-06,294.384105968,1.1600000000000001e-06,1780654831.5853174,,,,,,,,,,,,,,
29,14,,,,296.68794447,,1780654833.8891535,0.0,0.16058582067489624,,,,,,,,,,,,
39,15,1.56e-06,7.8e-06,7.8e-06,379.154884852,1.56e-06,1780654916.3561382,,,,,,,,,,,,,,
39,16,1.56e-06,7.8e-06,7.8e-06,381.442244495,1.56e-06,1780654918.6434078,,,,,,,,,,,,,,
39,17,1.56e-06,7.8e-06,7.8e-06,383.731728983,1.56e-06,1780654920.9330187,,,,,,,,,,,,,,
39,18,1.56e-06,7.8e-06,7.8e-06,386.018976536,1.56e-06,1780654923.220133,,,,,,,,,,,,,,
39,19,,,,388.309890204,,1780654925.5109808,0.0,0.1598862111568451,,,,,,,,,,,,
49,20,1.9600000000000003e-06,9.800000000000001e-06,9.800000000000001e-06,470.686012838,1.9600000000000003e-06,1780655007.887183,,,,,,,,,,,,,,
49,21,1.9600000000000003e-06,9.800000000000001e-06,9.800000000000001e-06,472.974058315,1.9600000000000003e-06,1780655010.1752875,,,,,,,,,,,,,,
49,22,1.9600000000000003e-06,9.800000000000001e-06,9.800000000000001e-06,475.260835384,1.9600000000000003e-06,1780655012.4619734,,,,,,,,,,,,,,
49,23,1.9600000000000003e-06,9.800000000000001e-06,9.800000000000001e-06,477.549838592,1.9600000000000003e-06,1780655014.7510257,,,,,,,,,,,,,,
49,24,,,,479.836413796,,1780655017.0375793,0.0,0.1286843866109848,,,,,,,,,,,,
56,25,,,,567.94177152,,1780655105.1429608,0.0,,0.1413579136133194,20.28125,0.0,0.1413579136133194,22.877126693725586,-0.06094622611999512,,,,,,
56,26,,,,568.689521952,,1780655105.8906302,0.0,,,,,,,,0.0,0.1449248492717743,0.1449248492717743,23.360523223876953,-0.18925297260284424,18.84375
59,27,2.3600000000000003e-06,1.18e-05,1.18e-05,587.472759355,2.3600000000000003e-06,1780655124.673905,,,,,,,,,,,,,,
59,28,2.3600000000000003e-06,1.18e-05,1.18e-05,589.776619416,2.3600000000000003e-06,1780655126.9778512,,,,,,,,,,,,,,
59,29,2.3600000000000003e-06,1.18e-05,1.18e-05,592.081334973,2.3600000000000003e-06,1780655129.2824717,,,,,,,,,,,,,,
59,30,2.3600000000000003e-06,1.18e-05,1.18e-05,594.386345573,2.3600000000000003e-06,1780655131.5876167,,,,,,,,,,,,,,
59,31,,,,596.693023131,,1780655133.8941765,1.0,0.16919666528701782,,,,,,,,,,,,
69,32,2.7600000000000003e-06,1.3800000000000002e-05,1.3800000000000002e-05,679.473525082,2.7600000000000003e-06,1780655216.674697,,,,,,,,,,,,,,
69,33,2.7600000000000003e-06,1.3800000000000002e-05,1.3800000000000002e-05,681.761485795,2.7600000000000003e-06,1780655218.9626412,,,,,,,,,,,,,,
69,34,2.7600000000000003e-06,1.3800000000000002e-05,1.3800000000000002e-05,684.048893716,2.7600000000000003e-06,1780655221.2501252,,,,,,,,,,,,,,
69,35,2.7600000000000003e-06,1.3800000000000002e-05,1.3800000000000002e-05,686.336507416,2.7600000000000003e-06,1780655223.5376296,,,,,,,,,,,,,,
69,36,,,,688.624720849,,1780655225.8259091,1.0,0.09632402658462524,,,,,,,,,,,,
79,37,3.1600000000000002e-06,1.58e-05,1.58e-05,771.082272882,3.1600000000000002e-06,1780655308.2834294,,,,,,,,,,,,,,
79,38,3.1600000000000002e-06,1.58e-05,1.58e-05,773.38611245,3.1600000000000002e-06,1780655310.5872996,,,,,,,,,,,,,,
