seq_position,cpg_name,genomic_rank
0,cg04672450,1
1,cg14324200,2
2,cg00005847,3
3,cg21832150,6
4,cg02397514,8
5,cg20022511,10
6,cg00012792,11
7,cg08067365,11
8,cg00019495,16
9,cg00020533,17
10,cg09383789,21
11,cg26541516,22
12,cg00029826,25
13,cg00033516,28
14,cg19584957,28
15,cg14886269,31
16,cg22335801,34
17,cg23867494,35
18,cg02913364,42
19,cg03322129,43
20,cg13587552,44
21,cg22421766,45
22,cg25203980,46
23,cg18565510,47
24,cg00262415,49
25,cg00061059,51
26,cg06038049,51
27,cg10164137,52
28,cg14667273,62
29,cg27383362,64
30,cg09932694,65
31,cg20755353,71
32,cg00089071,71
33,cg00090147,72
34,cg00101227,79
35,cg00109274,87
36,cg00113020,89
37,cg03716942,91
38,cg12150066,92
39,cg10943191,94
40,cg24087944,96
41,cg06063714,97
42,cg21137823,98
43,cg24035370,99
44,cg00145118,114
45,cg06382459,120
46,cg23207616,140
47,cg03533858,141
48,cg20664247,153
49,cg20103201,162
50,cg00209951,163
51,cg09044743,163
52,cg05610148,169
53,cg00226923,178
54,cg00230502,183
55,cg00231644,184
56,cg04716261,184
57,cg00234961,188
58,cg08528984,194
59,cg08537652,195
60,cg00253200,200
61,cg00263760,207
62,cg00280814,219
63,cg00298357,233
64,cg00309204,240
65,cg02737335,246
66,cg24919884,247
67,cg00319692,248
68,cg07453618,257
69,cg10074513,258
70,cg13501117,261
71,cg26128092,264
72,cg00338893,265
73,cg04391111,267
74,cg00565688,268
75,cg25885108,270
76,cg19783114,271
77,cg16741710,272
78,cg05924583,273
79,cg03568718,274
80,cg21906716,275
81,cg00353953,277
82,cg03846767,280
83,cg26208930,281
84,cg08670691,291
85,cg00387170,293
86,cg14550570,295
87,cg00396163,296
88,cg19148051,296
89,cg14213620,297
90,cg09633588,299
91,cg00402366,302
92,cg17525406,307
93,cg13614083,313
94,cg19814116,314
95,cg08080029,321
96,cg00282347,322
97,cg23323711,323
98,cg19180828,326
99,cg03716999,327
100,cg15731815,329
101,cg17145806,330
102,cg17992056,331
103,cg00431549,332
104,cg06940574,332
105,cg14958889,333
106,cg21927975,334
107,cg00433406,334
108,cg04055049,335
109,cg14566624,336
110,cg00445824,340
111,cg17236617,345
112,cg25165880,346
113,cg09549827,347
114,cg13066963,348
115,cg00461841,348
116,cg00463577,351
117,cg02084087,351
118,cg04818845,354
119,cg07274506,355
120,cg05086993,356
121,cg14186992,357
122,cg06066711,361
123,cg19884658,364
124,cg06778853,365
125,cg11688219,366
126,cg02904365,367
127,cg00485380,371
128,cg03630344,374
129,cg06487986,375
130,cg25514503,376
131,cg10500283,378
132,cg20625138,379
133,cg08840010,380
134,cg17425224,383
135,cg25007680,384
136,cg19560758,387
137,cg00503458,388
138,cg11283860,395
139,cg00514895,400
140,cg11832727,408
141,cg12711814,413
142,cg02981703,416
143,cg25919221,417
144,cg16084788,418
145,cg24027679,419
146,cg03679305,421
147,cg00547018,422
148,cg17940013,424
149,cg10429262,425
150,cg00551244,426
151,cg25284492,430
152,cg00556408,431
153,cg00559473,432
154,cg18783781,442
155,cg00567749,442
156,cg13631913,443
157,cg20994801,448
158,cg23508540,464
159,cg26985289,465
160,cg00613255,468
161,cg00613344,469
162,cg10740965,470
163,cg27308387,471
164,cg15226751,472
165,cg04413397,473
166,cg01929105,474
167,cg06615861,478
168,cg07894717,483
169,cg04256470,484
170,cg15452426,486
171,cg11843760,487
172,cg20739510,488
173,cg15031780,489
174,cg00638514,494
175,cg00646492,500
176,cg10891879,501
177,cg00692549,509
178,cg15482690,510
179,cg12888113,511
180,cg21379816,512
181,cg21099221,513
182,cg23731764,515
183,cg03617456,516
184,cg04508649,518
185,cg21223353,519
186,cg07029998,520
187,cg15746187,524
188,cg06848073,525
189,cg01420388,527
190,cg10667970,529
191,cg17189494,530
192,cg07789904,531
193,cg06630737,533
194,cg17350448,542
195,cg05228408,544
196,cg01226883,545
197,cg00702729,547
198,cg27012203,547
199,cg02978542,548
200,cg06584407,550
201,cg20202438,551
202,cg14506552,557
203,cg22927043,558
204,cg04313552,560
205,cg11469137,561
206,cg23286660,562
207,cg05523254,566
208,cg00727947,567
209,cg09306577,567
210,cg15770654,568
211,cg23355725,570
212,cg00731459,574
213,cg19896198,574
214,cg00736326,575
215,cg13836770,586
216,cg26189983,587
217,cg00762512,592
218,cg00777121,602
219,cg01346152,605
220,cg18839416,608
221,cg10743104,609
222,cg18877506,610
223,cg25402049,612
224,cg12379145,613
225,cg25450806,614
226,cg19324313,616
227,cg17657618,628
228,cg21045388,629
229,cg00816620,630
230,cg20375690,631
231,cg00818693,631
232,cg24535573,632
233,cg15319451,633
234,cg05385377,634
235,cg00821764,636
236,cg00826384,640
237,cg22269795,644
238,cg25741794,645
239,cg23064554,646
240,cg20858526,647
241,cg15952725,649
242,cg02612026,652
243,cg11706911,654
244,cg00840516,655
245,cg17385448,655
246,cg09559551,656
247,cg16713727,658
248,cg00846036,658
249,cg15616400,659
250,cg07846167,660
251,cg00849368,662
252,cg23002761,663
253,cg10274502,665
254,cg15500658,666
255,cg07437033,669
256,cg21660130,673
257,cg00871453,676
258,cg00873037,677
259,cg15415507,678
260,cg15146752,679
261,cg18669381,684
262,cg26845278,688
263,cg16011258,689
264,cg07459264,690
265,cg08477744,693
266,cg18679190,694
267,cg12999103,695
268,cg11192270,696
269,cg24305835,698
270,cg03861428,699
271,cg15185794,703
272,cg17502536,705
273,cg22193702,706
274,cg01459162,707
275,cg12858514,708
276,cg23228178,709
277,cg18333690,710
278,cg01346589,716
279,cg21243909,717
280,cg05380570,721
281,cg19685066,727
282,cg23349790,730
283,cg13507429,731
284,cg14356550,732
285,cg00930194,732
286,cg11428724,733
287,cg00940278,737
288,cg21731286,738
289,cg18895413,740
290,cg21728447,741
291,cg00945507,743
292,cg00948524,746
293,cg00223950,748
294,cg10850580,749
295,cg18224761,750
296,cg18931421,751
297,cg00953277,751
298,cg05688084,752
